Hotel Name,Price,Rating
The Maverick by Kasa,$92,8.8
Homewood Suites by Hilton Pittsburgh Downtown,$174,9.2
Omni William Penn Hotel,$228,9.0
The Maverick by Kasa,$92,8.8
Wyndham Grand Pittsburgh Downtown,$201,7.8
La Quinta Inn by Wyndham Pittsburgh Airport,$80,8.0
Homewood Suites by Hilton Pittsburgh Downtown,$174,9.2
Wingate by Wyndham Cranberry,$81,8.2
Courtyard by Marriott Pittsburgh University Center,$142,7.8
Jefferson Hills Motel,$71,9.0
Comfort Inn and Suites,$125,8.6
Microtel Inn & Suites by Wyndham Pittsburgh Airport,$80,7.4
"Kimpton Hotel Monaco Pittsburgh, an IHG Hotel",$303,9.4
Courtyard by Marriott Pittsburgh University Center,$142,7.8
TRYP by Wyndham Pittsburgh/Lawrenceville,$157,8.6
Cambria Hotel Pittsburgh - Downtown,$168,8.0
"Joinery Hotel Pittsburgh, Curio Collection by Hilton",$218,8.2
Sheraton Pittsburgh Hotel at Station Square,$245,8.6
Drury Plaza Hotel Pittsburgh Downtown,$196,9.6
DoubleTree by Hilton Pittsburgh - Green Tree,$163,7.6
Sonesta Simply Suites Pittsburgh Airport,$82,8.4
Wingate by Wyndham Pittsburgh/West Mifflin,$98,7.8
Hyatt House Pittsburgh/Bloomfield/Shadyside,$187,8.8
SpringHill Suites by Marriott Pittsburgh Bakery Square,$153,8.8
Comfort Inn Cranberry Township,$78,8.4
Fairfield Inn & Suites by Marriott Pittsburgh North/McCandless Crossing,$129,9.4
Sleep Inn & Suites Pittsburgh,$86,8.0
"Kimpton Hotel Monaco Pittsburgh, an IHG Hotel",$303,9.4
Extended Stay America Suites Pittsburgh West Mifflin,$70,7.2
"EVEN Hotel Pittsburgh Downtown, an IHG Hotel",$185,8.6
DoubleTree by Hilton Pittsburgh - Green Tree,$163,7.6
"EVEN Hotel Pittsburgh Downtown, an IHG Hotel",$185,8.6
Extended Stay America Premier Suites Pittsburgh Cranberry To,$76,7.4
"Crowne Plaza Suites Pittsburgh South, an IHG Hotel",$161,8.6
"Holiday Inn Express Hotel & Suites Pittsburgh-South Side, an IHG Hotel",$153,7.2
Comfort Inn Meadowlands,$67,7.6
"Home2 Suites by Hilton Pittsburgh / McCandless, PA",$147,8.6
"Holiday Inn Express & Suites Pittsburgh West - Greentree, an IHG Hotel",$150,8.6
Pittsburgh Marriott City Center,$238,8.4
Courtyard by Marriott Pittsburgh Downtown,$247,9.0
"Hotel Indigo Pittsburgh East Liberty, an IHG Hotel",$169,8.4
